emp_no,first_name,last_name,dept_name
11797,Chenxi,Thambidurai,Sales
11810,Amabile,Bhattacharjee,Development
11817,Niranjan,Markovitch,Sales
11832,Arto,Zlotek,Development
11844,Shawna,Demeyer,Development
11857,Divier,Farrag,Sales
11871,Nalini,Sommen,Development
11894,Mitchel,Validov,Development
11897,Cordelia,Setlzner,Sales
11906,Hideo,Boguraev,Development
11933,Basil,Erman,Development
11983,Jaana,Hedayat,Development
12011,Zhilian,Coorg,Sales
12036,Mads,Ratzlaff,Sales
12069,Ayonca,Burnard,Development
12070,Ger,Shokrollahi,Development
12076,Karlis,Siprelle,Sales
12082,Xinan,Yamaashi,Sales
12099,Nobuyoshi,Kuzuoka,Sales
12125,Shounak,Erman,Development
12149,Suebskul,Grandbois,Sales
12159,Shem,Perly,Development
12165,Xiaobin,Maquelin,Development
12205,Sushant,Rossi,Development
12206,Barton,Janetzko,Development
12221,Vincent,Melter,Development
12247,Subbu,Penttonen,Development
12249,Eldridge,Sadowski,Development
12264,Mart,Pagter,Development
12311,Susanne,Lubachevsky,Development
12327,DAIDA,Bruckman,Development
12341,Rasiah,Luga,Development
12373,Mooi,Driscoll,Sales
12399,Mihalis,Luga,Sales
12411,Shao,Ibel,Sales
12454,Kerryn,Farris,Sales
12464,Shai,Milicic,Sales
12475,Filipe,Roison,Development
12489,Arnould,Munck,Development
12490,Jackson,Muchinsky,Development
12497,Stein,Penz,Sales
12514,Tomofumi,Melter,Development
12541,Shih,Nanard,Sales
12589,Anoosh,Chleq,Development
12601,Ghassan,Simkin,Development
12638,Yuqun,Seiwald,Development
12651,Pragnesh,Bael,Sales
12662,Leucio,Alvarado,Development
12663,Nobuyoshi,Stellhorn,Development
12664,Zhonghua,Parveen,Sales
12689,Luerbio,Boudaillier,Development
12709,Ronghao,Botman,Development
12726,Fumitake,Panwar,Development
12732,Mara,Takanami,Sales
12734,Gil,Frijda,Development
12773,Jenwei,Lovengreen,Development
12790,Gunilla,Perl,Sales
12798,Lillian,Beeson,Sales
12803,Gad,Boissier,Sales
12848,Kazuhide,Smeets,Development
12872,Marl,Schmittgen,Sales
12879,Baruch,Eugenio,Development
12890,Neven,Casley,Sales
12893,Licheng,Crouzet,Sales
12905,Munehiro,Gecsei,Development
12940,Odinaldo,Farrar,Development
12941,Tommaso,Perelgut,Development
12949,Geoff,Asrin,Development
12977,Byong,Markovitch,Development
13047,Atilio,Chelton,Development
13075,Rosella,Morrin,Sales
13076,Deniz,Skafidas,Development
13103,Srinidhi,Ellozy,Development
13124,Quingbo,Garnick,Sales
13146,Haldon,Erie,Sales
13147,Shichao,Ginesta,Sales
13156,Akeel,Millington,Development
13173,Arve,Horswill,Sales
13179,Moty,Janocha,Sales
13186,Kyoichi,Barbanera,Sales
13192,Rosita,Flowers,Development
13210,Jianhua,Klassen,Sales
13213,Hein,Billawala,Sales
13232,Mitchel,Fujisaki,Development
13233,Alselm,Chvatal,Development
13238,Ebru,Foote,Sales
13240,King,Pileggi,Development
13291,Georg,Stamatiou,Development
13302,Mack,Alencar,Development
13315,Sakthirel,Stroustrup,Development
13333,Yoshinari,Hennebert,Development
13386,Khosrow,Sgarro,Development
13392,Fumitake,Beidas,Sales
13402,Augustine,Dulli,Development
13405,Randy,Baba,Sales
13493,Uinam,Jullig,Development
13504,Parto,Mandell,Development
13524,Chaoyi,Porotnikoff,Sales
13549,Matk,Koprowski,Development
13576,Jungsoon,Engberts,Development
13605,Dmitry,Encarnacion,Sales
13621,Fei,Haddadi,Development
13629,Dzung,Trelles,Development
13670,Moti,Takanami,Development
13680,Denny,Speer,Sales
13685,Weicheng,Hockney,Development
13697,Shuichi,Weedon,Development
13721,Sugwoo,Delgrossi,Sales
13738,Bangqing,Mitchem,Development
13769,Yakichi,Trogemann,Sales
13775,Arve,Maierhofer,Sales
13786,Takushi,Berendt,Sales
13796,Paloma,Thorelli,Development
13859,Anoosh,Fujisawa,Development
13904,Youngkon,Cairo,Development
13934,Shiv,Bratsberg,Development
13942,Elzbieta,Esteva,Development
13951,Mooi,Genther,Sales
13969,Jianwen,Chandrasekhar,Development
13990,Deborah,Schapiro,Development
14005,Vojin,Stellhorn,Development
14191,Jiann,Luby,Development
14232,Masali,Bojadziev,Development
14310,Marlo,Leuchs,Sales
14322,Shem,Kakkad,Development
14354,Mong,Bojadziev,Sales
14372,Saniya,Srimani,Development
14384,Tomofumi,Holburn,Development
14434,Elvis,Maginnis,Development
14478,Munehiro,Boissier,Sales
14483,Supot,Marrevee,Development
14513,Samphel,Barreiro,Sales
14516,Kristian,Underwood,Sales
14552,Ibibia,Snyers,Development
14560,Elrique,Driscoll,Development
14581,Gao,Condotta,Development
14582,Kiyokazu,Morrin,Development
14603,Lech,Marquardt,Development
14607,Suzette,Selvestrel,Sales
14621,Souichi,Wixon,Sales
14639,Arvind,Hempstead,Sales
14640,Toshimori,Kornatzky,Development
14642,Florian,Kuhnemann,Development
14645,Laurentiu,Glinert,Development
14648,IEEE,Lorys,Sales
14690,Yechezkel,Bellone,Development
14793,Stein,Uchoa,Development
14817,Gaurav,Masaki,Development
14821,Oguz,Kilgore,Development
14839,Changho,Cronin,Development
14853,Taiji,Nergos,Development
14877,Arto,Meriste,Development
14879,Anyuan,Sigstam,Development
14888,Temple,Barriga,Sales
14899,Alejandro,Casley,Sales
14908,Kerhong,Flanders,Development
14909,Mohan,Kamble,Development
14914,Gretta,Benzaken,Development
14923,Shuzo,Gyorkos,Development
14941,Nathan,Lichtner,Development
14954,Fox,Magliocco,Development
14993,Sanjay,Koblitz,Development
15030,Rasikan,Nourani,Sales
15036,Ziva,Delgrande,Development
15066,Tomokazu,Oaver,Development
15071,Ayonca,Couchot,Sales
15082,Guadalupe,Zirintsis,Development
15089,Giri,Coney,Development
15105,Sudhanshu,Itzigehl,Sales
15114,Pantung,Honglei,Development
15134,Arun,Luiz,Sales
15151,Urs,Pouyioutas,Sales
15176,Charlene,Sankaranarayanan,Sales
15193,Neelam,Schach,Development
15196,Souichi,Duclos,Development
15202,Pranay,Irland,Development
15230,Keiichiro,Suessmith,Development
15234,Jouko,Zhiwei,Development
15237,Reinhard,Sadowsky,Development
15271,Shiv,Bernardeschi,Sales
15292,Miyeon,Lammel,Sales
15329,Fan,Openshaw,Development
15330,Jaroslava,Chinal,Sales
15365,Mikhail,Schiettecatte,Development
15369,Premal,Penttonen,Sales
15370,Chuanyi,Nilsson,Development
15372,Nahum,Broder,Sales
15377,Shugo,Aumann,Development
15382,Alassane,Siegrist,Sales
15392,Pradeep,Markovitch,Development
15410,Wilmer,Kushner,Sales
15412,Huai,Thiria,Development
15452,Kazuhira,Weedman,Development
15454,Hongzue,Cesareni,Sales
15474,Gilbert,Plumb,Sales
15480,Kwok,Trogemann,Development
15504,Kasturi,Alpin,Development
15510,Inderjeet,Sethi,Development
15511,George,Kowalchuk,Sales
15518,Uno,Valtorta,Development
15525,Masadi,Cherinka,Development
15548,Sanjai,Caine,Development
15566,Baoqiu,Azuma,Sales
15601,Carrsten,Anily,Sales
15703,Chenye,Hanratty,Development
15708,Reuven,Kushnir,Sales
15715,Insup,Ibel,Sales
15739,Poorav,Bahr,Development
15740,Stepehn,Pocchiola,Sales
15765,Tonny,Taubenfeld,Development
15799,Manton,Gelosh,Sales
15819,Magdalena,Rajcani,Sales
15821,Aleksander,Antonakopoulos,Development
15876,Munehiro,Vakili,Development
15889,Sasan,Azumi,Development
15938,Garnik,Covnot,Sales
15948,Karoline,Versino,Development
15971,Arumugam,Aloia,Development
15993,Yoshimitsu,Peir,Development
16019,Chaoyi,Heystek,Development
16025,Doowon,Luce,Development
16052,Maria,Rodham,Development
16066,Marsha,Penn,Sales
16076,Marko,Ebeling,Development
16077,Kannan,Heemskerk,Development
16086,Mohammad,Denos,Development
16094,Berto,Rosar,Development
16130,Kerryn,Belinskaya,Development
16134,Annemarie,Chaudhuri,Development
16185,Marin,Winter,Development
16201,Krassimir,Olano,Development
16233,Sushant,Baba,Sales
16266,Mikhail,Sethi,Sales
16272,Shuho,Zeleznik,Development
16355,Nikolaos,Luca,Sales
16364,Yifei,Gini,Sales
16398,Limsoon,Krzyzanowski,Sales
16399,Apostol,Collette,Sales
16446,Jouko,Chinin,Sales
16447,Zhiguo,Savasere,Development
16448,Tsvetan,Zwicker,Development
16487,Arunas,Yemenis,Sales
16490,Muzhong,Thiria,Sales
16504,Mong,Cromarty,Development
16537,Weidon,Seiwald,Development
16546,Sangeeta,Lanphier,Development
16551,Sadegh,Ranon,Development
16556,Mostafa,Hiltgen,Development
16607,Vishwani,Honglei,Sales
16619,Arvind,Boguraev,Development
16672,Georgi,Peris,Sales
16674,Duke,Takanami,Development
16679,Domenick,Cummings,Development
16716,Ramachenga,Zumaque,Development
16731,Domenico,Versino,Development
16759,Vojin,Masaki,Development
16799,Shigeichiro,Bamford,Development
16801,Gila,Strooper,Development
16803,Ziva,Rohrbach,Development
16806,Sreekrishna,Dayana,Sales
16808,Kiyokazu,Katiyar,Sales
16875,Nikolaos,Radhakrishnan,Development
16910,Kazunori,Botman,Development
16921,Evgueni,Yeung,Sales
16969,Sanjit,Braccini,Development
16993,Hongzue,Dahlbom,Sales
17012,Valdiodio,Petereit,Development
17018,Berhard,Tasistro,Development
17046,Fay,Kornyak,Development
17055,Marin,Wixon,Development
17063,Anoosh,Thiran,Sales
17066,Heping,Ruther,Development
17068,Bodh,Gopalakrishnan,Development
17089,Rafail,Erman,Sales
17098,Xuedong,Gelosh,Development
17101,Sandeepan,Compeau,Development
17102,Radhika,Garnick,Sales
17103,Takahiro,Feldmann,Development
17146,Aemilian,Barbanera,Sales
17159,Quingbo,Mitchem,Development
17163,Yurii,Papsdorf,Development
17222,Leen,Muchinsky,Development
17235,Ronnie,Rissanen,Development
17245,Neven,Milicia,Sales
17260,Abdulah,Famili,Development
17277,Arnd,Hopewell,Development
17326,Arumugam,Ramsay,Development
17329,Shaunak,Tyugu,Development
17339,Fan,Mullainathan,Development
17352,Muneo,Katiyar,Sales
17355,Mingzeng,Weisert,Development
17436,Chirstian,Munawer,Sales
17448,Makato,Belinskaya,Development
17468,Abdelghani,Irland,Sales
17487,Gully,Staudhammer,Development
17512,Frederique,Hofmeyr,Development
17520,Shahab,Keohane,Development
17539,Cathie,Uhrik,Development
17559,Annemarie,Papastamatiou,Development
17573,Berthier,Deverell,Sales
17582,Kauko,Spieker,Development
17629,Mostafa,Winter,Sales
17647,Vasilis,Swab,Sales
17674,Adib,Braccini,Development
17677,Mingdong,Ramalingam,Development
17683,Bernt,Henders,Sales
17699,Radhia,Heping,Development
17711,Owen,Katiyar,Development
17745,Hatem,Schreiter,Development
17791,Matt,Stifter,Sales
17815,Shuji,Wissmann,Development
17834,Zhilian,Fiutem,Development
17840,Tonny,Sherertz,Development
17869,Xiaocheng,Prochazka,Development
17874,Rutger,Minakawa,Sales
17891,Isaac,Luiz,Development
17900,Sakthirel,Belinskaya,Development
17916,Sukumar,Morrin,Development
17973,Sanjit,Beidas,Development
17986,Oguz,Angelopoulos,Sales
18006,Vidya,Hanabata,Sales
18013,Jiong,Shanbhogue,Development
18016,Somnath,Kaminger,Sales
18018,Sasan,Schrooten,Sales
18065,Chriss,Wroclawski,Sales
18080,Satyanarayana,Rosar,Development
18099,Kazuhiko,Fendler,Development
18108,Sanjai,Genin,Sales
18134,Ult,Pesch,Development
18138,Moni,Baezner,Development
18210,Mabo,Radhakrishnan,Development
18261,Shridhar,Baak,Development
18274,Yefim,Karnin,Sales
18297,Guther,Nastansky,Sales
18310,Ioana,Dalton,Development
18316,Hongzue,Msuda,Development
18323,Oddvar,Tiemann,Development
18382,Remko,Mattern,Development
18401,Vidya,Itzfeldt,Sales
18443,Florina,Swick,Sales
18448,Rosine,Bazelow,Development
18454,Eric,Anido,Sales
18468,Kirk,Cunliffe,Development
18511,Pascal,Marzano,Development
18542,Tiina,Anido,Development
18571,Xinglin,Flowers,Development
18581,Mitsuyuki,Ranai,Sales
18664,Itzchak,Akaboshi,Sales
18666,Hitofumi,Baja,Development
18671,Shan,Nastansky,Development
18673,Ohad,Orlowski,Development
18679,Roded,Lambe,Sales
18701,Mori,Ratnakar,Sales
18706,Debaprosad,Schicker,Sales
18725,Cullen,Marchegay,Sales
18728,Tzvetan,Luft,Development
18771,Domenick,Haraldson,Sales
18775,Shay,Akazan,Development
18786,Guozhong,Veevers,Development
18789,Reinhold,Domenig,Sales
18790,Florina,Rahier,Development
18809,Laurentiu,Munoz,Sales
18833,Roded,Majewski,Development
18835,Uwe,Lieblein,Development
18888,Sajjan,Stassinopoulos,Development
18921,Maren,Radwan,Development
18927,Muneo,Msuda,Development
18933,Barun,Panienski,Development
18980,Weiye,Kawashimo,Development
18994,Leszek,Mitsuhashi,Sales
19006,Martina,Hempstead,Development
19012,Gal,Panangaden,Sales
19014,Jiafu,Danecki,Sales
19029,Khosrow,Jiang,Development
19031,Rosella,Pollock,Sales
19048,Nikolaus,Radhakrishnan,Sales
19051,Marek,Cappello,Development
19089,Badri,Ellozy,Development
19109,Jenwei,Denis,Sales
19120,Giri,Qiwen,Development
19134,Seongbin,Bakhtari,Sales
19147,Chaitali,Bennis,Sales
19160,Tetsurou,Jervis,Sales
19192,Yinlin,Schusler,Development
19201,Arto,Sommen,Sales
19205,Moto,Sinitsyn,Sales
19259,Anoosh,Pelc,Development
19294,IEEE,Schoegge,Development
19310,Bouchung,Guerreiro,Development
19318,Xianlong,Halevi,Sales
19333,Sanjeeva,Schrooten,Development
19353,Mayumi,Schaar,Development
19381,Xiahua,Holburn,Sales
19419,Palash,Bernardeschi,Sales
19425,Xuejia,Pettey,Development
19487,Huiqun,Cannane,Development
19488,Maris,Perly,Development
19515,Keiichiro,Gurbaxani,Development
19543,Chaitali,Perl,Development
19580,Stein,Tagansky,Sales
19586,Hirochika,Minakawa,Development
19616,Niranjan,Uchoa,Development
19621,Radhakrishnan,Albarhamtoshy,Development
19624,Younwoo,Wolniewicz,Sales
19629,Stepehn,Matzke,Sales
19633,Tayeb,Nourani,Development
19634,Phuoc,Etalle,Sales
19637,Dipayan,Papastamatiou,Development
19653,Gay,Crooks,Development
19663,Sverrir,Navazio,Sales
19665,Khalid,Zielinski,Development
19669,Shem,Honiden,Sales
19675,Isamu,Herath,Sales
19678,Xiping,Plotkin,Development
19708,Ortrud,Biros,Sales
19720,Kwangyoen,Maksimenko,Development
19723,Xuejun,Magalhaes,Sales
19724,Visit,Hasham,Sales
19728,Candido,Ramsey,Sales
19744,Aleksander,Skafidas,Development
19758,Rildo,Birdsall,Development
19777,Halsur,Ferretti,Sales
19826,Fox,Christ,Sales
19839,Tadahiro,Hempstead,Development
19841,Adil,Straney,Sales
19849,Weicheng,Serre,Sales
19874,Xuejia,Kuzuoka,Sales
19940,Reinhard,Einsfeld,Sales
19950,Jaroslava,Kusakari,Development
19955,IEEE,Conry,Sales
19975,Mabry,Geffroy,Development
20006,Geoff,Birnbaum,Development
20013,Jaewoo,Lanphier,Development
20022,Felicidad,Bellone,Development
20037,Tse,VanScheik,Development
20042,Margareta,Munck,Sales
20043,Chikara,Adachi,Development
20059,Pranay,Panwar,Development
20060,Chrisa,Attimonelli,Development
20075,Mikhail,Oberman,Development
20148,Ibibia,Polupanov,Sales
20169,Gil,Zuberek,Development
20170,Emdad,Himler,Sales
20181,Thodoros,Wegerle,Sales
20245,Halsur,Fujisawa,Development
20251,Cristinel,Unno,Development
20266,Ekawit,Kakkad,Sales
20284,Monique,Parascandalo,Development
20305,Gou,Birnbaum,Sales
20325,Katsuyuki,England,Sales
20334,Miquel,Frijda,Development
20339,Masami,Jumpertz,Development
20367,Bernt,Takanami,Development
20392,Terresa,Sidje,Development
20408,Debatosh,Smailagic,Development
20435,Oguz,Homond,Sales
20450,Abdelwaheb,Binkley,Development
20454,Nidapan,Gunderson,Development
20456,Sigeru,Highland,Development
20489,Boguslaw,Garrabrants,Development
20490,Soenke,Douceur,Development
20494,Lucien,Pagter,Sales
20498,Suvo,Gini,Development
20530,Nevio,Katiyar,Development
20534,Rosita,Kalloufi,Sales
20545,Woody,Chaudhury,Sales
20550,Koichi,Kabayashi,Development
20585,Bernd,Butterworth,Development
20621,Arumugam,Navazio,Sales
20624,Xiong,Nanard,Development
20651,Alexius,Vickson,Development
20666,Shushma,Linares,Development
20693,Yefim,Flasterstein,Development
20708,Aemilian,Arlazarov,Sales
20728,Billie,Sessa,Sales
20765,Steve,Viele,Sales
20793,Pranav,Luft,Development
20794,Shaz,Rathonyi,Development
20813,Srinidhi,Sinicrope,Sales
20836,Jingling,Alameldin,Sales
20903,Yagil,Kemmerer,Development
20923,Menkae,Miara,Sales
20958,Ashish,Eiron,Development
20964,Clyde,Erez,Sales
20968,Nimmagadda,Rijsenbrij,Development
20974,Hisao,Yavatkar,Sales
20979,Pradeep,Kumaresan,Sales
21007,Christfried,Junet,Sales
21109,Lech,Chenoweth,Development
21110,Shaowei,Solares,Sales
21133,Carrsten,Brizzi,Sales
21138,Niteen,Haraldson,Sales
21143,Mayumi,Hennings,Sales
21165,Mingdong,Pfau,Development
21192,Sajjad,Krohm,Development
21214,Weiru,Angelov,Development
21229,Vasilis,Collavizza,Development
21251,Fatemeh,Riexinger,Development
21288,Nechama,Wendorf,Development
21312,Mani,Bahi,Development
21321,Laurentiu,Raney,Development
21361,Shooichi,Lally,Sales
21396,Shaw,Manderick,Development
21402,Guadalupe,Gecsei,Development
21409,Hongzhu,Yoshimura,Sales
21413,Laurentiu,Sherertz,Sales
21421,Avishai,Yoshizawa,Sales
21432,Kerhong,Weisert,Sales
21523,Eldridge,Lores,Development
21542,Miomir,Sherertz,Sales
21547,Fatemeh,Crooks,Development
21548,Maren,Gimbel,Development
21555,Uinam,Biron,Development
21566,Angel,Demos,Sales
21580,Debatosh,Morton,Development
21588,Licheng,Masamoto,Sales
21609,Sibyl,Pappas,Sales
21612,Martial,Bardell,Sales
21639,Caolyn,Domenig,Development
21642,Shaz,Erman,Development
21643,Yuuichi,Maksimenko,Development
21648,Mayuko,Fandrianto,Sales
21663,Eberhardt,Serra,Development
21674,Kannan,Naumovich,Development
21683,Jiang,Velasco,Sales
21693,Palash,Schurmann,Sales
21697,Billur,Luke,Sales
21705,Aleksandar,Luon,Sales
21751,Uinam,Savasere,Development
21754,Kenroku,Jonsson,Development
21758,Susumu,Picht,Sales
21820,Sanjay,Khasidashvili,Sales
21835,Mang,Luck,Development
21859,Padma,Swen,Development
21877,Brigham,Biran,Development
21897,Sampalli,Kavanagh,Sales
21908,Fen,Parfitt,Development
21920,Naftali,Schneeberger,Development
21980,Gen,Miyakawa,Sales
21987,Dipankar,Fontet,Sales
21994,Lech,Babb,Sales
22012,DeForest,Armand,Development
22023,Mart,Vidya,Sales
22024,Weidon,Flexer,Development
22072,Kasturi,Pettit,Development
22095,Breannda,Schlumberger,Sales
22111,Rasiah,Felcyn,Sales
22136,Naftali,Thiran,Sales
22140,Susanne,Reghbati,Sales
22150,Kristina,Zweizig,Sales
22179,Rosine,Garnick,Sales
22180,Iara,Luef,Development
22234,Arno,Narwekar,Development
22255,Kristian,Merel,Development
22326,Mani,Skafidas,Sales
22370,Aloys,Oxenboll,Sales
22372,Mitchel,Bugrara,Development
22374,Soenke,Klassen,Sales
22375,Snehasis,Kulisch,Development
22381,Uma,Openshaw,Sales
22405,Gritta,Parveen,Sales
22429,Franziska,Terekhov,Development
22437,Xiaoqiu,Orsini,Development
22520,Mokhtar,Ranka,Development
22536,Sukumar,Andreotta,Development
22557,Abdulla,Luon,Sales
22593,Danae,Jeansoulin,Sales
22596,Slavian,Wegerle,Development
22609,Zvonko,Baalen,Sales
22649,Reuven,Driscoll,Development
22682,Kristina,Ananiadou,Development
22691,Morris,Bottner,Sales
22702,Faiza,Reeken,Development
22716,Sreekrishna,Waymire,Development
22720,Olivera,Gornas,Sales
22728,Makato,Codenie,Sales
22749,Snehasis,Famili,Development
22758,Mabry,Rijckaert,Sales
22766,Yishay,Jumpertz,Development
22783,Takahiro,Beerel,Sales
22786,Moss,Usdin,Sales
22838,Brendon,Markovitch,Development
22855,Shalesh,Thimonier,Development
22863,Petter,Denna,Sales
22873,Ebbe,Ashish,Sales
22886,Gudjon,Templeman,Development
22894,Muzhong,Casley,Sales
22897,Weiru,Heering,Development
22910,Shawna,Cummings,Sales
22917,Adas,Pfau,Development
22919,Georg,Skogmar,Development
22923,Kristof,Laventhal,Development
22928,Sanjeeva,Angot,Development
22934,Parviz,Plumb,Sales
22947,Herbert,Schmiedel,Development
23007,Hyuckchul,Spell,Development
23023,Premsyl,Lenart,Development
23026,Junichi,Lortz,Development
23034,Josyula,Rosca,Development
23068,Eldridge,Brlek,Development
23086,Nathan,Lemarechal,Development
23095,Muneo,Woycyznski,Development
23104,Tadanori,Anido,Development
23138,Pascal,Kaelbling,Development
23151,Ortrun,Lunt,Development
23195,Mark,Ertl,Sales
23197,Marjo,Ducloy,Development
23252,Dzung,Simkin,Development
23269,Aamer,Szmurlo,Development
23290,Parviz,Papsdorf,Sales
23300,Froduald,Schauser,Sales
23314,Krassimir,Demizu,Sales
23330,Aloke,Cooley,Development
23342,Xinglin,Berendt,Development
23347,Kwun,Rosaz,Development
23362,Youjian,Yurek,Sales
23370,Morris,Bodoff,Sales
23398,Georgy,Marwedel,Development
23404,Anneli,Gini,Development
23406,Masadi,Masada,Sales
23448,Gil,Unno,Development
23454,Heejo,Felcyn,Sales
23466,Chikara,Anandan,Development
23480,Dannz,Busillo,Sales
23532,Duke,Bardell,Sales
23538,Bernardo,Pargaonkar,Development
23592,Marek,Templeman,Sales
23620,Clyde,Reeker,Sales
23633,Jinpo,Nyrup,Sales
23640,Leucio,Mamelak,Development
23642,Kwangjo,Pusterhofer,Development
23676,Sham,Openshaw,Sales
23677,Rafael,Sevcikova,Sales
23691,Satoru,Stille,Development
23692,Aris,Merey,Development
23703,Prodip,Thimonier,Sales
23707,Yoshimitsu,Ananiadou,Development
23753,Karsten,Isaac,Development
23761,Jouni,Menhardt,Sales
23777,Juichirou,Kilgore,Development
23784,Aiman,Merli,Development
23791,Boguslaw,Pavlopoulou,Sales
23817,Duri,Coorg,Sales
23822,Faiza,Rosar,Development
23842,Genevieve,Birdsall,Development
23857,Kristen,Frijda,Development
23860,Malu,Kumaresan,Sales
23868,Trygve,Reistad,Sales
23872,Cedric,Ranst,Development
23877,Tesuro,Motley,Sales
23883,Dayanand,Ozery,Development
23924,Shakhar,Solovay,Development
23932,Lubomir,Harbusch,Development
23940,Jingling,Haldar,Development
23946,Carrsten,Streit,Sales
23952,Valdiodio,Oehlmann,Sales
23963,Goo,Soloway,Development
23969,Elgin,Sullins,Development
24056,Gladys,Shrader,Sales
24118,Elliott,Monarch,Sales
24140,Basem,Thombley,Development
24153,Lidong,Anger,Sales
24156,Bangqing,Willoner,Development
24166,Niranjan,Chinal,Sales
24178,Jouko,Sherertz,Development
24182,Teunis,Antonisse,Development
24199,Iara,Bach,Development
24209,Hilary,Msuda,Development
24224,Vasilis,Kinley,Development
24225,Shugo,Eiter,Sales
24256,Salvador,Clemencon,Development
24260,Atilio,Brookman,Development
24269,Prodip,Peron,Development
24334,Zhilian,Brookman,Sales
24383,Aksel,Erev,Development
24388,Zhilian,Milicic,Sales
24389,Kenroku,Shimshoni,Development
24397,Shaibal,Shimshoni,Sales
24429,Murthy,Anger,Sales
24457,Alain,Merkl,Development
24459,Masako,Puoti,Development
24460,Yinghua,Lanphier,Sales
24497,Jackson,Rando,Development
24508,Uzi,Penn,Development
24522,Shunichi,Hopewell,Sales
24525,Ronnie,Gelosh,Development
24526,Ayonca,Sudbeck,Development
24534,Berni,Morton,Development
24588,Huiqun,Kranzdorf,Sales
24596,Ayonca,Stranks,Sales
24613,Hitofumi,Stifter,Sales
24617,Ramachenga,Cullers,Development
24657,Berna,Silva,Development
24680,Garnet,Takkinen,Development
24696,Ohad,Munoz,Development
24720,Owen,Zirintsis,Development
24725,Yechezkel,Openshaw,Sales
24728,Margo,Trumbly,Development
24746,Tianruo,Tsukuda,Sales
24752,Fan,Mersereau,Development
24790,Kiyokazu,Chachaty,Sales
24793,Kristen,Brizzi,Sales
24862,Susumu,Muntz,Sales
24872,Oguz,Decaestecker,Sales
24888,Murthy,Felder,Sales
24909,Constantine,Garrabrants,Sales
24915,Morris,Liedekerke,Development
24925,Gennady,Thebaut,Development
24932,Charmane,Erbe,Sales
24934,Carrsten,Bruckman,Development
24937,Syozo,Carrera,Development
24939,Shuho,Angot,Development
24963,Cathie,Redmiles,Development
24976,Khun,Vakili,Sales
24985,Martins,Bottner,Sales
25003,Dietrich,Benzmuller,Sales
25004,Youpyo,Schurmann,Development
